Q,U,probability
1184622,4732,0.673530648
1184622,4740,0.665825527
1184622,4748,0.661942056
1184622,4756,0.647809257
1184622,4764,0.640385171
1184622,4772,0.633351009
1184622,4780,0.612077251
1184622,4788,0.610826663
1184622,4796,0.588760721
1184622,4804,0.571191529
1184622,4812,0.537814896
1184622,4820,0.501884434
1184622,4828,0.478837391
1184622,4836,0.428993016
1184622,4844,0.418875563
1184622,4852,0.409217574
1184622,4860,0.408519965
1184622,4868,0.398784493
1184622,4876,0.391364831
1184622,4884,0.368809889
8704567,4892,0.592087039
8704567,4900,0.544743319
8704567,4908,0.504692724
8704567,4916,0.495625524
8704567,4924,0.485526601
8704567,4932,0.482069397
8704567,4940,0.481279565
8704567,4948,0.480377602
8704567,4956,0.475856463
8704567,4964,0.475802208
8704567,4972,0.474643216
8704567,4980,0.470929679
8704567,4988,0.470517801
8704567,4996,0.468947681
8704567,5004,0.462831706
8704567,5012,0.462320308
8704567,5020,0.443508015
8704567,5028,0.390431726
8704567,5036,0.35
8704567,5044,0.343788597
10492145,5052,0.669823953
10492145,5060,0.616280913
10492145,5068,0.580754038
10492145,5076,0.525392811
10492145,5084,0.405290595
10492145,5092,0.394770811
10492145,5036,0.35
10492145,5100,0.333120291
10492145,5108,0.317722343
10492145,5116,0.316989757
10492145,5124,0.297901639
10492145,5132,0.265364124
10492145,5140,0.254411609
10492145,5148,0.226079757
10492145,5156,0.214681881
10492145,5164,0.211750662
10492145,5172,0.209784029
10492145,5180,0.202994798
10492145,5188,0.199959995
10492145,5196,0.179378836
10782305,5204,0.664060127
10782305,5212,0.652140864
10782305,5220,0.624531726
10782305,5228,0.585471869
10782305,5236,0.577717143
10782305,5244,0.521616779
10782305,5252,0.516799157
10782305,5260,0.510124697
10782305,5268,0.412133115
10782305,5276,0.369155201
10782305,5284,0.365690265
10782305,5292,0.356298602
10782305,5036,0.35
10782305,5300,0.335142413
10782305,5308,0.319069858
10782305,5316,0.314835353
10782305,5324,0.306730283
10782305,5332,0.261533501
10782305,5340,0.260697803
10782305,4876,0.251289023
24520608,5348,0.669305832
24520608,5356,0.625038257
24520608,5364,0.524011811
24520608,5140,0.414737609
24520608,5372,0.399798345
24520608,5036,0.35
24520608,5380,0.262051187
24520608,5388,0.236355561
24520608,5156,0.214681881
24520608,5100,0.204824258
24520608,4892,0.2008038
24520608,5396,0.163673693
24520608,5404,0.161932311
24520608,5180,0.135751282
24520608,5412,0.128868199
24520608,5420,0.120950294
24520608,5428,0.120400855
24520608,5116,0.120204306
24520608,5436,0.120168418
24520608,5444,0.11516325
25004672,5452,0.69621622
25004672,5460,0.602024537
25004672,5468,0.599674114
25004672,5476,0.595733032
25004672,5484,0.591475494
25004672,5492,0.576347293
25004672,5412,0.469271705
25004672,5420,0.461975258
25004672,5500,0.452229678
25004672,5508,0.452019904
25004672,5516,0.434701079
25004672,5524,0.428269497
25004672,5532,0.39336692
25004672,5540,0.379331588
25004672,5036,0.35
25004672,5548,0.340276898
25004672,4860,0.306708639
25004672,5556,0.24411404
25004672,5156,0.214681881
25004672,5100,0.204824258
26255285,4900,0.735123917
26255285,4908,0.69507332
26255285,4924,0.674194084
26255285,4948,0.670758196
26255285,4972,0.66502381
26255285,4980,0.660807148
26255285,4996,0.659328279
26255285,4988,0.657114852
26255285,4940,0.651391414
26255285,4956,0.649457935
26255285,5004,0.648317514
26255285,5044,0.467524732
26255285,5564,0.410083048
26255285,5332,0.406868702
26255285,5036,0.35
26255285,5572,0.343596272
26255285,5580,0.284362999
26255285,5588,0.254551031
26255285,5156,0.214681881
26255285,5100,0.204824258
27545303,5596,0.645915518
27545303,5036,0.616650994
27545303,5180,0.610649918
27545303,5604,0.584226196
27545303,5612,0.571142504
27545303,5620,0.554018153
27545303,5628,0.552584493
27545303,5636,0.549129681
27545303,5644,0.546735051
27545303,5652,0.54620505
27545303,5660,0.53885042
27545303,5668,0.5383394
27545303,5676,0.534240693
27545303,5684,0.532103985
27545303,5692,0.527400408
27545303,5700,0.525849719
27545303,5708,0.51911539
27545303,5716,0.518995224
27545303,5724,0.518379322
27545303,5732,0.515020985
27584433,5740,0.515699538
27584433,5748,0.507652668
27584433,5756,0.49577176
27584433,5764,0.479902191
27584433,5772,0.478278881
27584433,5780,0.471830631
27584433,5788,0.465935424
27584433,5796,0.461535385
27584433,5804,0.456417919
27584433,5812,0.452539953
27584433,5820,0.451974731
27584433,5828,0.449173789
27584433,5836,0.441413579
27584433,5844,0.441120921
27584433,5852,0.436354036
27584433,5860,0.412286724
27584433,5180,0.400713058
27584433,5868,0.393861853
27584433,5876,0.370163931
27584433,5156,0.367740179
27671461,5884,0.601063448
27671461,5892,0.573410322
27671461,5900,0.562326832
27671461,5908,0.539068968
27671461,5916,0.536741966
27671461,5284,0.485487977
27671461,5924,0.460081177
27671461,5932,0.446686814
27671461,5260,0.380464051
27671461,5940,0.367886612
27671461,5036,0.35
27671461,5948,0.325918442
27671461,5956,0.30094982
27671461,5100,0.292014052
27671461,5964,0.249508681
27671461,5156,0.214681881
27671461,5972,0.190546501
27671461,5980,0.188438815
27671461,4852,0.178630359
27671461,5988,0.157977876
27683693,5428,0.496538771
27683693,5996,0.477331794
27683693,6004,0.471770586
27683693,6012,0.458787783
27683693,6020,0.45299563
27683693,6028,0.421203852
27683693,6036,0.406180948
27683693,6044,0.405861425
27683693,5036,0.35
27683693,5156,0.339531732
27683693,5100,0.325840756
27683693,6052,0.28453983
27683693,6060,0.251756549
27683693,6068,0.230548997
27683693,6076,0.227929944
27683693,6084,0.224952019
27683693,6092,0.216991829
27683693,6100,0.208553721
27683693,6108,0.2056503
27683693,6116,0.205226493
27716139,6124,0.542023063
27716139,6132,0.541546831
27716139,6140,0.527756021
27716139,6148,0.50281941
27716139,6156,0.44771474
27716139,6164,0.446909895
27716139,5036,0.35
27716139,6172,0.342762265
27716139,6180,0.321276248
27716139,6188,0.319706812
27716139,6196,0.315197452
27716139,6204,0.291884894
27716139,6212,0.29028932
27716139,6220,0.277798137
27716139,6228,0.276281485
27716139,6236,0.262458119
27716139,6076,0.259551411
27716139,6244,0.250952868
27716139,5100,0.21682722
27716139,5156,0.214681881
29346089,6252,0.515536569
29346089,6260,0.500510882
29346089,5148,0.500013972
29346089,6268,0.439598794
29346089,6276,0.386218846
29346089,6284,0.386139621
29346089,6292,0.372255502
29346089,6300,0.357271643
29346089,6308,0.356113677
29346089,6316,0.354009918
29346089,5036,0.35
29346089,6324,0.348130775
29346089,6332,0.344287508
29346089,6340,0.326440418
29346089,6348,0.292870182
29346089,6356,0.264794926
29346089,5100,0.262055053
29346089,6364,0.251900025
29346089,5324,0.245136192
29346089,5252,0.218969727
30944257,5988,0.481344853
30944257,6372,0.470659574
30944257,6100,0.400548295
30944257,6380,0.376614559
30944257,5044,0.373776653
30944257,5100,0.3733694
30944257,6388,0.367222107
30944257,6396,0.367209504
30944257,6404,0.365626983
30944257,5036,0.35
30944257,5940,0.341372795
30944257,5156,0.340310423
30944257,6412,0.309611041
30944257,6420,0.30051758
30944257,5412,0.298370765
30944257,6428,0.271924966
30944257,6436,0.265956328
30944257,6444,0.26485874
30944257,6452,0.259497801
30944257,6460,0.251064105
30992508,6468,0.681132141
30992508,6476,0.665161064
30992508,6484,0.650445681
30992508,6492,0.627648076
30992508,6500,0.620516052
30992508,6508,0.613425888
30992508,6516,0.565841316
30992508,6524,0.512637279
30992508,5036,0.424256011
30992508,6532,0.409181802
30992508,6540,0.34379749
30992508,6364,0.335606924
30992508,6548,0.318102137
30992508,4804,0.30581114
30992508,5156,0.30008509
30992508,6428,0.279087764
30992508,5516,0.272392567
30992508,6556,0.213975523
30992508,4796,0.211502906
30992508,5100,0.204824258
31606838,5068,0.556070694
31606838,5052,0.544140368
31606838,5060,0.49059733
31606838,5092,0.434358832
31606838,5076,0.411796141
31606838,5036,0.35
31606838,5084,0.323135803
31606838,6564,0.315489895
31606838,6572,0.31237424
31606838,5204,0.303429402
31606838,6580,0.280381056
31606838,6588,0.278626235
31606838,6596,0.269170956
31606838,5220,0.263901002
31606838,6604,0.256108952
31606838,6612,0.248261364
31606838,5100,0.247244034
31606838,6620,0.22705108
31606838,5228,0.224841139
31606838,5124,0.218654247
32300176,6068,0.588659883
32300176,6628,0.557921017
32300176,6092,0.548113425
